id,title,joke
1,Conversation Using Countries,"Worldwide conversation...

KELVIN: I'm HUNGARY.

MUM: Why don't you CZECH the fridge?

KELVIN: Ok, I'm RUSSIAN to the kitchen!

MUM: You'll also find some TURKEY in the fridge.

KELVIN: Yeah, but its all covered in GREECE... Yuck!

MUM: There is NORWAY you can eat that!

KELVIN: I know, I guess I'll just have some CHILE.

MUM: DENMARK your name on the can.

KELVIN: KENYA do it for me?

MUM: Ok, I'm GHANA do it!

KELVIN: Thanks, I'm so tired! IRAN for an hour today!

MUM: It TOKYO long enough.

KELVIN: Yeah, ISRAELly hard sometimes!"
2,"Akpos, the husband","The following conversation ensued between angry wife Chidima and her husband Akpors on phone:

CHIDIMMA: Where the hell are you?

AKPORS: Honey, you remember that gold shop where you saw the diamond necklace & totally fell in love with it?

CHIDIMMA: (relaxed): Yes, my king

AKPORS: Remember I had no cash to buy it for you that day & I said I will buy it for you one day?

CHIDIMMA: (totally relaxed with a smile & a blush): Yes I remember my love!

AKPORS: Good, I am in a beer palour next to
that shop.

If you were Chidinma what would you do to Akpos?"
3,The Packaging Friend,"I asked a friend of mine what he is doing. He told me, he is working on, ""Aqua-thermal treatment of ceramics, aluminum and steel under a constrained environment"".

I was impressed! On further asking, I learnt that he was washing dishes with hot water... under his wife's supervision!"
4,Lmao,"This economic recession is no longer funny o! See women pricing school fees: ""Aunty, how much if we remove geography and Physical Education, I want him to become a doctor, not a traveler.""

What if he comes to school only Monday, Wednesday and Friday will you reduce it?"""
5,See me see trouble,"A pregnant girl on my Facebook list finally gave birth...

Now she's been uploading her baby pics every 20mins, and this makes me feel like I am raising her child with my data bundles."
6,You think say you wise!!,"TEACHER: What is a Verb?

CHIKE: A Verb is a valve found in bicycle tyre.

TEACHER: What are you saying?

CHIKE: It is a complete sentence sir.

TEACHER: Are you mad?

CHIKE: It is a question sir.

TEACHER: Don't be stupid.

CHIKE: It is an advice sir.

TEACHER: Stop that nonsense.

CHIKE: It is a command sir.

TEACHER: You're an idiot.

CHIKE: It is an insult sir.

TEACHER: Get out of my class.

CHIKE: It is an order sir.

TEACHER: Oh! Goodness, What a boy!

CHIKE: It is an exclamation sir.

TEACHER: May God have mercy on you.

CHIKE: It is a prayer sir"
7,Long Queue,"I've you experienced the long queue at ATM points these days? I wonder where the recession everyone keep shouting about is coming from.

Yesterday afternoon, I tried to check if I still have some money in my account. After staying in the queue behind a guy for about 45 minutes, a girl walked up to me and said, ""Please sir, I'm in front of your back.""

Out of annoyance, I replied, ""Come and stay in the center of my front!"
8,Nothing Good,"When People say they can't see anything good in you...

Hug them and say, ""Life is difficult for the BLIND!"""
9,The Stolen Goat,"Kunle stole a goat, he was arrested and taken to court.

JUDGE: Gentleman, are you guilty or not guilty?

KUNLE: My Lord, I’m not guilty.

JUDGE: How come you were arrested and brought before the court for stealing a goat?

KUNLE: My Lord, I was just passing by Mr. Darlington's house and I saw a very big rope tied to a tree. I said to myself, ""maybe the tree is trying to commit suicide,"" so I rescued the tree and took the rope home. My Lord… I swear I didn’t realise there was a goat tied to the rope until now!

The Judge freed Kunle."
10,People Without Gifts,"A man was invited to a wedding. When he reached the hotel, he found two doors written on them:

1. Bride's relatives
2. Groom's relatives

He entered the groom's door and found two doors again.
1. Ladies
2. Men

He entered the men's door and found two doors again.
1. People with gifts
2. People without gifts

He entered the second door (people without gifts) and
He found himself outside the hotel."
11,Why steal the car?,"Judge: “Why did you steal the car?”

Man: “I had to get to work.”

Judge: “Why didn’t you take the bus?”

Man: I don’t have a driver’s license for the bus"
12,Frozen Windows,"Wife sends a text message to her husband on a really cold winter morning: Windows are totally frozen, will not open.

Husband replies: “Carefully pour some warm water over it and tap the edges first with your hand, if that doesn’t work, then gently with a hammer.”

15 minutes later, the wife texts back: “Oh no, I think the laptop is now totally gone"
